# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 1.006252766710934e+52 5.264721874082603e+48 -2.697768031628948e+44 3.329862422754489e+41
-3.974800000000000e+04 -3.765600000000000e+04 2.294433377600708e+52 8.507882635090393e+48 1.820044853357820e+45 3.329862422754519e+41
-3.765600000000000e+04 -3.556400000000000e+04 5.175686144311641e+52 2.049485720698089e+49 3.909866509878549e+45 4.679192138685809e+41
-3.556400000000000e+04 -3.347200000000000e+04 1.160275564409030e+53 4.299723346752517e+49 6.846527496117757e+45 4.612488392747088e+41
-3.347200000000000e+04 -3.138000000000000e+04 2.401643426294820e+53 7.769902133166452e+49 9.741325211405817e+45 -1.289702394730164e+42
-3.138000000000000e+04 -2.928800000000000e+04 4.335353032315184e+53 1.015237177124354e+50 1.647152982079317e+45 -7.397271183093562e+41
-2.928800000000000e+04 -2.719600000000000e+04 6.463590084108012e+53 9.870323848014134e+49 -2.995374412430233e+45 -2.497755630623125e+41
-2.719600000000000e+04 -2.510400000000000e+04 8.374501992031873e+53 8.289119065906743e+49 -4.562965846209296e+45 2.653554865264291e+41
-2.510400000000000e+04 -2.301200000000000e+04 9.933183930942893e+53 6.728369776048393e+49 -2.897594812769442e+45 2.043132556187068e+41
-2.301200000000000e+04 -2.092000000000000e+04 1.123265272244356e+54 5.784266988767078e+49 -1.615324820506463e+45 -1.255757381379807e+41
-2.092000000000000e+04 -1.882800000000000e+04 1.236053010181496e+54 4.943541774696885e+49 -2.403438153060435e+45 1.033799386649217e+41
-1.882800000000000e+04 -1.673600000000000e+04 1.329899845064188e+54 4.073674825423170e+49 -1.754625657999382e+45 1.487191833195683e+41
-1.673600000000000e+04 -1.464400000000000e+04 1.408803674192120e+54 3.534798695688476e+49 -8.212640634857511e+44 1.883660466274523e+41
-1.464400000000000e+04 -1.255200000000000e+04 1.480882027445772e+54 3.438494978092248e+49 3.609212451481349e+44 -6.737284362100460e+41
-1.255200000000000e+04 -1.046000000000000e+04 1.548226538291279e+54 2.704939953007359e+49 -3.867398420506107e+45 8.006904227080555e+41
-1.046000000000000e+04 -8.368000000000000e+03 1.595219123505976e+54 2.138078296905580e+49 1.157734672409644e+45 -3.541785492532350e+41
-8.368000000000000e+03 -6.276000000000000e+03 1.641771801682160e+54 2.157459582728072e+49 -1.065089902703663e+45 9.081917823267904e+40
-6.276000000000000e+03 -4.184000000000000e+03 1.683076029216467e+54 1.831066026650331e+49 -4.951087401153731e+44 -7.044254400120949e+40
-4.184000000000000e+03 -2.092000000000000e+03 1.718570163789287e+54 1.531425752419145e+49 -9.372061462669663e+44 -7.044254400120949e+40
