# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 -2.133950335544932e+16 7.988191584181841e+17 -3.683631501893183e+13 3.320626846490602e+09
-3.974800000000000e+04 -3.765600000000000e+04 1.540297740590972e+21 6.882938279322724e+17 -1.599606093035680e+13 3.320626846490661e+09
-3.765600000000000e+04 -3.556400000000000e+04 2.940604451078273e+21 6.649641205529591e+17 4.844193158218703e+12 -3.529951496342457e+10
-3.556400000000000e+04 -3.347200000000000e+04 4.029722906137427e+21 2.217710553622793e+17 -2.166955627522339e+14 3.769776399001163e+10
-3.347200000000000e+04 -3.138000000000000e+04 3.890451866018403e+21 -1.899344582447206e+17 1.989560404907905e+13 -4.599541912026103e+09
-3.138000000000000e+04 -2.928800000000000e+04 3.538069979937858e+21 -1.670804396867941e+17 -8.971120990796742e+12 4.290314829996994e+09
-2.928800000000000e+04 -2.719600000000000e+04 3.188556158434512e+21 -1.482863847058437e+17 1.795489488226441e+13 -4.766246395565918e+09
-2.719600000000000e+04 -2.510400000000000e+04 2.913282325044843e+21 -1.357410218144214e+17 -1.195806749630729e+13 3.826992686563004e+09
-2.510400000000000e+04 -2.301200000000000e+04 2.612016326950260e+21 -1.355274890559523e+17 1.206013860456206e+13 -6.357383722302396e+09
-2.301200000000000e+04 -2.092000000000000e+04 2.323068157081873e+21 -1.685364521189920e+17 -2.783880163660773e+13 1.116966972392813e+10
-2.092000000000000e+04 -1.882800000000000e+04 1.950918997444867e+21 -1.383630258505746e+17 4.226204555076519e+13 -8.869597623658602e+09
-1.882800000000000e+04 -1.673600000000000e+04 1.765215711224007e+21 -7.799105134945533e+16 -1.340354913531623e+13 3.993758577527685e+09
-1.673600000000000e+04 -1.464400000000000e+04 1.579963388555296e+21 -8.163587901389509e+16 1.166127969724749e+13 -5.072837040379477e+09
-1.464400000000000e+04 -1.255200000000000e+04 1.413771622917959e+21 -9.944835081587357e+16 -2.017584556817412e+13 6.967413104076138e+09
-1.255200000000000e+04 -1.046000000000000e+04 1.181217398660040e+21 -9.238619080376170e+16 2.355163907300770e+13 -4.600537856752224e+09
-1.046000000000000e+04 -8.368000000000000e+03 1.048897875296570e+21 -5.424839785443727e+16 -5.321336515969247e+12 2.079616797105415e+09
-8.368000000000000e+03 -6.276000000000000e+03 9.311616512439787e+20 -4.920876569827115e+16 7.730338502664321e+12 -2.926054672900292e+09
-6.276000000000000e+03 -4.184000000000000e+03 8.352587845816658e+20 -5.528234821706335e+16 -1.063358062445792e+13 3.025225603456540e+09
-4.184000000000000e+03 -2.092000000000000e+03 7.007682719753206e+20 -6.005387671357784e+16 8.352735262835314e+12 3.025225603456536e+09
