# n_intervals=14
# x_left  x_right  c0  c1  c2  c3
-3.138000000000000e+04 -2.928800000000000e+04 1.068323103955975e+22 5.829369815849386e+17 2.016336094840593e+14 -3.341220497633582e+10
-2.928800000000000e+04 -2.719600000000000e+04 1.247926990092734e+22 9.878900669475794e+17 -8.061388947424312e+12 -3.341220497633582e+10
-2.719600000000000e+04 -2.510400000000000e+04 1.420474800525812e+22 5.154792788728925e+17 -2.177563873789079e+14 -3.946591443281736e+08
-2.510400000000000e+04 -2.301200000000000e+04 1.432651433999008e+22 -4.007950805327273e+17 -2.202332681687113e+14 3.940100359415673e+10
-2.301200000000000e+04 -2.092000000000000e+04 1.288494642014932e+22 -8.049398531695229e+17 2.704743038821672e+13 2.340584704954867e+07
-2.092000000000000e+04 -1.882800000000000e+04 1.131959864640514e+22 -6.914660998842186e+17 2.719432548429999e+13 -6.298127979273569e+09
-1.882800000000000e+04 -1.673600000000000e+04 9.934403646402391e+21 -6.603756331639580e+17 -1.233272571362099e+13 4.689843902248376e+09
-1.673600000000000e+04 -1.464400000000000e+04 8.541862251559824e+21 -6.504009585383196e+17 1.710073461688976e+13 9.234352668470428e+09
-1.464400000000000e+04 -1.255200000000000e+04 7.340609890461313e+21 -4.576100488506585e+17 7.505553196421023e+13 -2.603668375298183e+10
-1.255200000000000e+04 -1.046000000000000e+04 6.473387011619894e+21 -4.854235304853326e+17 -8.835069526950369e+13 4.592375619871581e+10
-1.046000000000000e+04 -8.368000000000000e+03 5.491675177368396e+21 -2.521318422475664e+17 1.998667986336368e+14 -5.367818047290031e+10
-8.368000000000000e+03 -6.276000000000000e+03 5.347471266104432e+21 -1.206510300398837e+17 -1.370174620142855e+14 3.539318578684238e+10
-6.276000000000000e+03 -4.184000000000000e+03 4.819461852583573e+21 -2.292410807833724e+17 8.511017198393716e+13 -1.517884899738779e+10
-4.184000000000000e+03 -2.092000000000000e+03 4.573400211778998e+21 -7.242917979809051e+16 -1.015228432366862e+13 -1.517884899738780e+10
