# x_left x_right c3 c2 c1 c0
-3.138000000000000000e+04 -2.928800000000000000e+04 -2.768346318401603200e+16 3.306310678764923126e+20 4.413080218914602206e+23 2.142929531319413101e+27
-2.928800000000000000e+04 -2.719600000000000000e+04 -2.768346318401609200e+16 1.568896529336077517e+20 1.461201369826189191e+24 4.259683196357173798e+27
-2.719600000000000000e+04 -2.510400000000000000e+04 -6.897992311273765000e+15 -1.685176200927738470e+19 1.754160637639888309e+24 7.749680697467790914e+27
-2.510400000000000000e+04 -2.301200000000000000e+04 -1.983069164223534400e+16 -6.014356175483063501e+19 1.593086420325372447e+24 1.128247862061305806e+28
-2.301200000000000000e+04 -2.092000000000000000e+04 2.774178904258274000e+16 -1.846009825014992732e+20 1.081080833741129578e+24 1.417043813860506068e+28
-2.092000000000000000e+04 -1.882800000000000000e+04 2.499789342449009500e+15 -1.049351447024994304e+19 6.729431460762301906e+23 1.587815137716569987e+28
-1.882800000000000000e+04 -1.673600000000000000e+04 -1.518575793702491600e+16 5.195163442959781888e+18 6.618589957271397115e+23 1.726291092847623163e+28
-1.673600000000000000e+04 -1.464400000000000000e+04 2.376375126339342800e+16 -9.011065336980858470e+19 4.842157908001720023e+23 1.853122223456241231e+28
-1.464400000000000000e+04 -1.255200000000000000e+04 -2.275875173935504000e+16 5.903064955924862566e+19 4.191964228284803396e+23 1.936740615282096392e+28
-1.255200000000000000e+04 -1.046000000000000000e+04 7.801373878671501000e+15 -8.380327635694357709e+19 3.673720875677025336e+23 2.029434140382051820e+28
-1.046000000000000000e+04 -8.368000000000000000e+03 8.586024772141648000e+15 -3.484185389440129843e+19 1.191664750818891462e+23 2.076754775655263978e+28
-8.368000000000000000e+03 -6.276000000000000000e+03 1.032360271750554125e+15 1.904403757555965952e+19 8.611744334287247455e+22 2.094296979120390858e+28
-6.276000000000000000e+03 -4.184000000000000000e+03 -1.314761568875445000e+16 2.552313064106607002e+19 1.793519592520536524e+23 2.121592486672589484e+28
-4.184000000000000000e+03 -2.092000000000000000e+03 -1.314761568875446800e+16 -5.699130542155685888e+19 1.135205376112669072e+23 2.158245640826298998e+28
