# n_intervals=20
# x_left  x_right  c0  c1  c2  c3
-5.601105319200000e+04 -5.300845998400000e+04 1.315951400000000e+19 -2.090339409874671e+13 8.017666959362506e+10 -1.304431321030661e+07
-5.300845998400000e+04 -5.206743654400000e+04 1.346647710000000e+19 1.077668540756817e+14 -3.732362915124873e+10 -1.304431321030661e+07
-5.206743654400000e+04 -5.202018663200000e+04 1.352396740000000e+19 2.868833428840416e+12 -7.414864262004912e+10 -1.421121651296878e+09
-5.202018663200000e+04 -5.131899425600001e+04 1.352378750000000e+19 -1.365639351435727e+13 -2.755922615152938e+11 2.791680893385659e+08
-5.131899425600001e+04 -5.034618915200000e+04 1.347495590000000e+19 1.163357121030460e+13 3.116593460847675e+11 -5.957341681730564e+08
-5.034618915200000e+04 -4.908564200000000e+04 1.323277070000000e+19 -1.073317503382221e+15 -1.426940372193075e+12 5.883954677914959e+08
-4.908564200000000e+04 -4.852740435200001e+04 1.079097110000000e+19 -1.865924405732391e+15 7.981603213297582e+11 2.119340974397442e+08
-4.852740435200001e+04 -4.739617627200000e+04 1.003494070000000e+19 -7.766635194549144e+14 1.153089097587051e+12 -4.321480115805467e+08
-4.739617627200000e+04 -4.640790291999999e+04 1.000635840000000e+19 1.731204395787349e+14 -3.134847986611891e+11 1.321791469790864e+08
-4.640790291999999e+04 -4.625139621600000e+04 9.998856470000001e+18 -5.920504545123216e+13 7.840258728738251e+10 1.884554636680868e+09
-4.625139621600000e+04 -4.570671054400000e+04 9.998735400000000e+18 1.038188291234039e+14 9.632388913718594e+11 -3.056579915516644e+08
-4.570671054400000e+04 -4.516282401600000e+04 1.029166620000000e+19 8.810935607384909e+14 4.637763057803934e+11 -1.109524654896688e+08
-4.516282401600000e+04 -4.347335828800000e+04 1.089022100000000e+19 1.287113533164340e+15 2.827396520957444e+11 -1.170588734785700e+08
-4.347335828800000e+04 -4.249607630399999e+04 1.330729230000000e+19 1.240109960184052e+15 -3.105612126052501e+11 5.559189450119662e+07
-4.249607630399999e+04 -4.178388837600000e+04 1.427450710000000e+19 7.923823366848572e+14 -1.475743417479049e+11 9.390330007587302e+07
-4.178388837600000e+04 -4.079561502400001e+04 1.479790150000000e+19 7.250675491818249e+14 5.305604839228701e+10 -1.120254570633133e+08
-4.079561502400001e+04 -4.046668149600000e+04 1.545815500000000e+19 5.016948188830872e+14 -2.790792734915908e+11 -4.649187883368477e+07
-4.046668149600000e+04 -4.009442264800000e+04 1.559132900000000e+19 3.030068763194897e+14 -3.249574866759301e+11 2.915736279710299e+08
-4.009442264800000e+04 -3.956223876800000e+04 1.567413570000000e+19 1.822861667443156e+14 6.651018910966339e+08 -2.107151442135214e+08
-3.956223876800000e+04 -3.955053612000000e+04 1.573957380000000e+19 3.958051260751802e+12 -3.357525071758354e+11 -2.107151442135213e+08
