# n_intervals=20
# x_left  x_right  c0  c1  c2  c3
-5.601105319200000e+04 -5.300845998400000e+04 1.130458330000000e+26 2.054092143438669e+22 1.828488255766419e+19 1.866147918138300e+14
-5.300845998400000e+04 -5.206743654400000e+04 3.446221060000000e+26 1.353923636890802e+23 1.996586747690174e+19 1.866147918139517e+14
-5.206743654400000e+04 -5.202018663200000e+04 4.898652770000000e+26 1.734648185352143e+23 2.049269415694443e+19 -4.432221169433970e+16
-5.202018663200000e+04 -5.131899425600001e+04 4.981025500000000e+26 1.751045193088435e+23 1.421003235033462e+19 1.135570466474983e+16
-5.131899425600001e+04 -5.034618915200000e+04 6.317861060000000e+26 2.117822554276015e+23 3.809763295542496e+19 -7.796895439660961e+15
-5.034618915200000e+04 -4.908564200000000e+04 8.666847210000000e+26 2.637696283795838e+23 1.534305391825496e+19 -5.930889700586911e+14
-4.908564200000000e+04 -4.852740435200001e+04 1.222370620000000e+27 2.996236962453870e+23 1.310020408198469e+19 2.975833344592850e+15
-4.852740435200001e+04 -4.739617627200000e+04 1.394231940000000e+27 3.170318208086145e+23 1.808387070336079e+19 -1.413035276485315e+16
-4.739617627200000e+04 -4.640790291999999e+04 1.755553560000000e+27 3.036989244878197e+23 -2.987008478036208e+19 5.663210546516632e+15
-4.640790291999999e+04 -4.625139621600000e+04 2.031983780000000e+27 2.612528119636196e+23 -1.307968457069897e+19 -1.155023266515910e+16
-4.625139621600000e+04 -4.570671054400000e+04 2.072506940000000e+27 2.563099490516819e+23 -1.850275110527110e+19 -1.938341580251856e+16
-4.570671054400000e+04 -4.516282401600000e+04 2.203493520000000e+27 2.189014225243941e+23 -5.017635769142184e+19 3.153633144221830e+16
-4.516282401600000e+04 -4.347335828800000e+04 2.312782090000000e+27 1.923074609493525e+23 1.280199750474230e+18 -2.891387160015180e+15
-4.347335828800000e+04 -4.249607630399999e+04 2.627390080000000e+27 1.718745572192413e+23 -1.337449878920022e+19 6.297106190539480e+15
-4.249607630399999e+04 -4.178388837600000e+04 2.788463880000000e+27 1.637759657776739e+23 5.087646504847506e+18 -2.445531240186128e+15
-4.178388837600000e+04 -4.079561502400001e+04 2.906800260000000e+27 1.673014808548889e+23 -1.373869755745280e+17 1.721609505780032e+16
-4.079561502400001e+04 -4.046668149600000e+04 3.088623180000000e+27 2.174739941108846e+23 5.090523693779381e+19 -1.073753066115542e+16
-4.046668149600000e+04 -4.009442264800000e+04 3.165283330000000e+27 2.474775580918222e+23 4.030943541064763e+19 2.368673094817386e+16
-4.009442264800000e+04 -3.956223876800000e+04 3.264216900000000e+27 2.873359295374751e+23 6.676222093760704e+19 -4.633529397821702e+16
-3.956223876800000e+04 -3.955053612000000e+04 3.429056940000000e+27 3.190262833934710e+23 -7.214468653198137e+18 -4.633529397666035e+16
