#  mu[kcal/mol]        rho[m^-3]      M[s/(kg m)]
   -13.386963   1.13045833e+26   1.31595140e+19
   -12.669326   3.44622106e+26   1.34664771e+19
   -12.444416   4.89865277e+26   1.35239674e+19
   -12.433123   4.98102550e+26   1.35237875e+19
   -12.265534   6.31786106e+26   1.34749559e+19
   -12.033028   8.66684721e+26   1.32327707e+19
   -11.731750   1.22237062e+27   1.07909711e+19
   -11.598328   1.39423194e+27   1.00349407e+19
   -11.327958   1.75555356e+27   1.00063584e+19
   -11.091755   2.03198378e+27   9.99885647e+18
   -11.054349   2.07250694e+27   9.99873540e+18
   -10.924166   2.20349352e+27   1.02916662e+19
   -10.794174   2.31278209e+27   1.08902210e+19
   -10.390382   2.62739008e+27   1.33072923e+19
   -10.156806   2.78846388e+27   1.42745071e+19
    -9.986589   2.90680026e+27   1.47979015e+19
    -9.750386   3.08862318e+27   1.54581550e+19
    -9.671769   3.16528333e+27   1.55913290e+19
    -9.582797   3.26421690e+27   1.56741357e+19
    -9.455602   3.42905694e+27   1.57395738e+19
    -9.452805   3.43278933e+27   1.57395738e+19
