# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 2.266343130680076e+12 5.129602363228783e+09 -1.124375732981798e+06 9.822114462362686e+01
-3.974800000000000e+04 -3.765600000000000e+04 8.975951203574967e+12 1.714798206885228e+09 -5.079398293239167e+05 9.822114462362666e+01
-3.765600000000000e+04 -3.556400000000000e+04 1.123959852206533e+13 8.791618714462475e+08 1.084960743339641e+05 -9.981592561452987e+01
-3.556400000000000e+04 -3.347200000000000e+04 1.263976335637022e+13 2.258703122354976e+07 -5.179486748228254e+05 8.865703773070429e+01
-3.347200000000000e+04 -3.138000000000000e+04 1.123193676315593e+13 -9.804972223099443e+08 3.846289397507518e+04 -7.228493308114077e-01
-3.138000000000000e+04 -2.928800000000000e+04 9.342449952539037e+12 -8.290590461393902e+08 3.392629157490313e+04 -1.313180221240341e+00
-2.928800000000000e+04 -2.719600000000000e+04 7.744512717910292e+12 -7.043527000813066e+08 2.568477250639875e+04 4.718290066581957e+00
-2.719600000000000e+04 -2.510400000000000e+04 6.426613952047401e+12 -5.349393320606737e+08 5.529676096426682e+04 -1.154044002396656e+01
-2.510400000000000e+04 -2.301200000000000e+04 5.443865930966661e+12 -4.550966451133276e+08 -1.713104062614731e+04 1.215539276509547e+01
-2.301200000000000e+04 -2.092000000000000e+04 4.528119827264802e+12 -3.671800025662257e+08 5.915620436759180e+04 -1.124960033093789e+01
-2.092000000000000e+04 -1.882800000000000e+04 3.915877839642818e+12 -2.673708560804350e+08 -1.144628730937441e+04 2.981842670425313e+00
-1.882800000000000e+04 -1.673600000000000e+04 3.333744191874247e+12 -2.761123408805168e+08 7.267757290214927e+03 -3.022546747093720e-03
-1.673600000000000e+04 -1.464400000000000e+04 2.787896579777348e+12 -2.457437285793385e+08 7.248787786830124e+03 5.376371964438441e+00
-1.464400000000000e+04 -1.255200000000000e+04 2.354748468936496e+12 -1.448263054203189e+08 4.099089823564582e+04 -1.008980782862864e+01
-1.255200000000000e+04 -1.046000000000000e+04 2.138789160368273e+12 -1.057934293891111e+08 -2.233273569682750e+04 6.616233862914140e+00
-1.046000000000000e+04 -8.368000000000000e+03 1.880306236177951e+12 -1.123664675947633e+08 1.919074802682165e+04 -5.644022053777958e+00
-8.368000000000000e+03 -6.276000000000000e+03 1.677549006116344e+12 -1.061749558512374e+08 -1.623113438268884e+04 5.426172483762643e+00
-6.276000000000000e+03 -4.184000000000000e+03 1.434075685501545e+12 -1.028436765094742e+08 1.782352412540552e+04 -3.309490119207037e+00
-4.184000000000000e+03 -2.092000000000000e+03 1.266630481679977e+12 -7.172164466397341e+07 -2.946835862737862e+03 -3.309490119207023e+00
