# n_intervals=19
# x_left  x_right  c0  c1  c2  c3
-4.184000000000000e+04 -3.974800000000000e+04 1.206285967242142e+26 6.153179455652062e+22 -2.496655615369392e+18 3.923349107887488e+15
-3.974800000000000e+04 -3.765600000000000e+04 2.743470562195662e+26 1.025969758521202e+23 2.212628338573256e+19 3.923349107887464e+15
-3.765600000000000e+04 -3.556400000000000e+04 6.217352810978308e+26 2.466845339283301e+23 4.674922238683429e+19 5.588844425107094e+15
-3.556400000000000e+04 -3.347200000000000e+04 1.393564630367419e+27 5.156614096790904e+23 8.182480999880655e+19 5.523650459022077e+15
-3.347200000000000e+04 -3.138000000000000e+04 2.881003762726870e+27 9.305385868615778e+23 1.164912402796294e+20 -1.523930053838119e+16
-3.138000000000000e+04 -2.928800000000000e+04 5.197985834440017e+27 1.217855185617329e+24 2.084939010074891e+19 -9.521987963558128e+15
-2.928800000000000e+04 -2.719600000000000e+04 7.749806330234617e+27 1.180071121206026e+24 -3.891060635854198e+19 -2.142572495190699e+15
-2.719600000000000e+04 -2.510400000000000e+04 1.002860779105799e+28 9.891384700241099e+23 -5.235739133835873e+19 3.103700288866768e+15
-2.510400000000000e+04 -2.301200000000000e+04 1.189716135458167e+28 8.108248424074621e+23 -3.287856832543071e+19 1.800224511807957e+15
-2.301200000000000e+04 -2.092000000000000e+04 1.346599712262063e+28 6.968967658373952e+23 -2.158035928932404e+19 -1.018328349161342e+15
-2.092000000000000e+04 -1.882800000000000e+04 1.482013612217795e+28 5.932345104900113e+23 -2.797138800866049e+19 7.409903220726534e+14
-1.882800000000000e+04 -1.673600000000000e+04 1.594555112881806e+28 4.859309754684739e+23 -2.332093274733255e+19 2.659728421134850e+15
-1.673600000000000e+04 -1.464400000000000e+04 1.688440681717574e+28 4.232768099082550e+23 -6.628477176290175e+18 2.090466604578589e+14
-1.464400000000000e+04 -1.255200000000000e+04 1.774280655157149e+28 3.982879169540990e+23 -5.316500335256717e+18 -3.474761828372522e+15
-1.255200000000000e+04 -1.046000000000000e+04 1.852094400177069e+28 3.304221694000453e+23 -2.712410557012268e+19 3.808418206796256e+15
-1.046000000000000e+04 -8.368000000000000e+03 1.912834772023019e+28 2.669371272316172e+23 -3.222472904269405e+18 -2.878140673409563e+14
-8.368000000000000e+03 -6.276000000000000e+03 1.967004205400620e+28 2.496754768869201e+23 -5.028793990901262e+18 -1.550364739811643e+14
-6.276000000000000e+03 -4.184000000000000e+03 2.016893536963258e+28 2.265994681877927e+23 -6.001802901607097e+18 -1.092531651231681e+15
-4.184000000000000e+03 -2.092000000000000e+03 2.060671204072598e+28 1.871436485260406e+23 -1.285853154473716e+19 -1.092531651231696e+15
