 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
     10000    6.1867612108E-01    3.0028859219E+07    1.8578138142E+07    1.1000000238E-15
     20000    6.1866246198E-01    3.0028850223E+07    1.8577722409E+07    1.2100000525E-15
     30000    6.1864744028E-01    3.0028840328E+07    1.8577265204E+07    1.3310000865E-15
     40000    6.1863092042E-01    3.0028829446E+07    1.8576762399E+07    1.4641001269E-15
     50000    6.1861275343E-01    3.0028817476E+07    1.8576209461E+07    1.6105101745E-15
     60000    6.1859277559E-01    3.0028804310E+07    1.8575601406E+07    1.7715612304E-15
     70000    6.1857080704E-01    3.0028789831E+07    1.8574932760E+07    1.9487173957E-15
     80000    6.1854665018E-01    3.0028773905E+07    1.8574197508E+07    2.1435891817E-15
     90000    6.1852008796E-01    3.0028756390E+07    1.8573389044E+07    2.3579481510E-15
    100000    6.1849088199E-01    3.0028737127E+07    1.8572500111E+07    2.5937430223E-15
    110000    6.1845877048E-01    3.0028715942E+07    1.8571522741E+07    2.8531173863E-15
    120000    6.1842346599E-01    3.0028692644E+07    1.8570448184E+07    3.1384291930E-15
    130000    6.1838465299E-01    3.0028667022E+07    1.8569266836E+07    3.4522721871E-15
    140000    6.1834198516E-01    3.0028638845E+07    1.8567968155E+07    3.7974994882E-15
    150000    6.1829508247E-01    3.0028607860E+07    1.8566540573E+07    4.1772495275E-15
    160000    6.1824352803E-01    3.0028573787E+07    1.8564971400E+07    4.5949745799E-15
    170000    6.1818686455E-01    3.0028536320E+07    1.8563246715E+07    5.0544721474E-15
    180000    6.1812459068E-01    3.0028495122E+07    1.8561351256E+07    5.5599194826E-15
    190000    6.1805615682E-01    3.0028449824E+07    1.8559268293E+07    6.1159115635E-15
    200000    6.1798096073E-01    3.0028400019E+07    1.8556979493E+07    6.7275028656E-15
    210000    6.1789834273E-01    3.0028345262E+07    1.8554464772E+07    7.4002533126E-15
    220000    6.1780758046E-01    3.0028285063E+07    1.8551702140E+07    8.1402788203E-15
    230000    6.1770788328E-01    3.0028218884E+07    1.8548667526E+07    8.9543068964E-15
    240000    6.1759838623E-01    3.0028146138E+07    1.8545334596E+07    9.8497377995E-15
    250000    6.1747814344E-01    3.0028066176E+07    1.8541674554E+07    1.0834711814E-14
    260000    6.1734612120E-01    3.0027978290E+07    1.8537655925E+07    1.1918183254E-14
    270000    6.1720119036E-01    3.0027881702E+07    1.8533244331E+07    1.3110001864E-14
    280000    6.1704211833E-01    3.0027775560E+07    1.8528402240E+07    1.4421002363E-14
    290000    6.1686756047E-01    3.0027658928E+07    1.8523088710E+07    1.5863102943E-14
    300000    6.1667605093E-01    3.0027530785E+07    1.8517259104E+07    1.7449413615E-14
    310000    6.1646599299E-01    3.0027390009E+07    1.8510864799E+07    1.9194355393E-14
    320000    6.1623564874E-01    3.0027235375E+07    1.8503852871E+07    2.1113791389E-14
    330000    6.1598312824E-01    3.0027065540E+07    1.8496165763E+07    2.3225171032E-14
    340000    6.1570637817E-01    3.0026879037E+07    1.8487740940E+07    2.5547688689E-14
    350000    6.1540316987E-01    3.0026674264E+07    1.8478510523E+07    2.8102458167E-14
    360000    6.1507108697E-01    3.0026449468E+07    1.8468400912E+07    3.0912704653E-14
    370000    6.1470751246E-01    3.0026202738E+07    1.8457332394E+07    3.4003975856E-14
    380000    6.1430961551E-01    3.0025931988E+07    1.8445218735E+07    3.7404374252E-14
    390000    6.1387433787E-01    3.0025634944E+07    1.8431966771E+07    4.1144812569E-14
    400000    6.1339838011E-01    3.0025309130E+07    1.8417475983E+07    4.5259294807E-14
